Output of question3

Words | Frequency
 the : 3128
 of : 1642
 and : 1542
 I : 1465
 to : 1432
 a : 1254
 that : 1082
 in : 881
 was : 792
 it : 784
 you : 752
 he : 718
 his : 659
 is : 621
 have : 529
 had : 501
 with : 427
 for : 420
 my : 420
 which : 419
 as : 383
 not : 365
 we : 350
 at : 345
 be : 341
 this : 332
 me : 324
 upon : 314
 him : 313
 from : 280
 but : 262
 The : 258
 Sir : 248
 said : 241
 one : 227
 on : 222
 been : 221
 so : 216
 by : 215
 all : 210
 were : 207
 It : 207
 are : 205
 our : 205
 there : 200
 an : 198
 could : 197
 man : 197
 He : 194
 no : 191
 would : 189
 us : 184
 Holmes : 182
 will : 181
 your : 178
 very : 177
 has : 167
 do : 166
 out : 165
 or : 161
 if : 154
 moor : 153
 her : 149
 should : 144
 Henry : 144
 more : 141
 who : 140
 But : 137
 some : 136
 up : 124
 what : 124
 You : 121
 We : 121
 know : 116
 over : 114
 when : 114
 see : 112
 And : 112
 into : 110
 down : 110
 may : 110
 Watson : 109
 Baskerville : 108
 she : 108
 about : 107
 Dr : 105
 any : 104
 There : 100
 can : 99
 sir : 99
 them : 98
 then : 95
 only : 92
 than : 91
 before : 91
 think : 91
 must : 90
 time : 89
 now : 88
 did : 87
 might : 87
 own : 87
 Mortimer : 86
 they : 84
 Stapleton : 84
 other : 84
 am : 82
 A : 81
 What : 78
 here : 77
 face : 77
 come : 77
 No : 76
 two : 76
 much : 75
 last : 74
 came : 74
 back : 73
 where : 71
 If : 71
 Charles : 70
 its : 70
 say : 70
 Barrymore : 69
 eyes : 69
 night : 68
 long : 67
 how : 66
 such : 66
 heard : 65
 these : 64
 case : 64
 old : 63
 tell : 63
 Mr : 62
 hound : 62
 saw : 61
 Well : 61
 away : 61
 way : 61
 death : 61
 their : 61
 never : 60
 Then : 58
 friend : 58
 go : 58
 Yes : 58
 again : 57
 until : 56
 My : 56
 Hall : 56
 That : 56
 made : 56
 little : 55
 through : 55
 light : 55
 first : 54
 most : 54
 great : 53
 like : 52
 after : 51
 good : 51
 nothing : 51
 once : 51
 well : 50
 get : 50
 day : 50
 matter : 49
 London : 49
 house : 49
 yet : 47
 looked : 47
 against : 46
 make : 46
 round : 46
 seen : 45
 name : 45
 place : 45
 turned : 44
 also : 44
 since : 44
 mind : 44
 In : 44
 found : 43
 still : 43
 left : 43
 those : 43
 find : 43
 thought : 42
 baronet : 42
 morning : 42
 wife : 42
 doubt : 41
 told : 41
 side : 41
 something : 41
 asked : 40
 ever : 40
 black : 40
 dark : 40
 This : 40
 hand : 39
 help : 39
 same : 39
 far : 38
 himself : 38
 hands : 38
 give : 38
 right : 37
 off : 37
 family : 37
 take : 36
 knew : 36
 door : 36
 anything : 36
 seemed : 36
 lay : 36
 window : 36
 Mrs : 36
 shall : 35
 life : 35
 end : 35
 without : 35
 few : 35
 cannot : 34
 stood : 34
 dont : 34
 done : 34
 instant : 34
 took : 34
 So : 33
 Sherlock : 33
 fellow : 33
 thing : 33
 Why : 32
 How : 32
 put : 32
 When : 32
 head : 32
 His : 31
 letter : 31
 passed : 31
 within : 31
 To : 31
 however : 31
 words : 31
 cried : 31
 together : 30
 heart : 30
 lady : 30
 clear : 30
 At : 30
 behind : 30
 Now : 30
 every : 30
 woman : 30
 small : 29
 always : 29
 between : 29
 dear : 29
 path : 29
 gave : 29
 whom : 29
 why : 29
 Street : 28
 set : 28
 whole : 28
 certainly : 28
 Project : 28
 evening : 28
 As : 28
 She : 28
 across : 28
 does : 27
 front : 27
 better : 27
 went : 27
 point : 27
 days : 27
 already : 27
 myself : 27
 rather : 27
 brought : 26
 course : 26
 being : 26
 really : 26
 chance : 26
 room : 26
 understand : 26
 moment : 26
 too : 26
 though : 26
 fear : 26
 next : 25
 indeed : 25
 return : 25
 both : 25
 able : 25
 even : 25
 new : 25
 answer : 25
 interest : 25
 sound : 25
 followed : 25
 brother : 25
 country : 24
 wish : 24
 things : 24
 gone : 24
 cry : 24
 Grimpen : 24
 word : 24
 work : 24
 while : 24
 Did : 24
 under : 24
 Charless : 24
 coming : 24
 strange : 24
 By : 24
 going : 23
 One : 23
 etext : 23
 taken : 23
 towards : 23
 On : 23
 three : 23
 just : 23
 facts : 23
 hour : 23
 got : 23
 hear : 23
 sure : 23
 walk : 23
 They : 22
 people : 22
 leave : 22
 quite : 22
 sat : 22
 Stapletons : 22
 half : 22
 poor : 22
 ready : 22
 home : 22
 Its : 22
 ran : 22
 several : 22
 convict : 22
 perhaps : 22
 Lyons : 21
 paper : 21
 another : 21
 voice : 21
 cab : 21
 darkness : 21
 held : 21
 reason : 21
 enough : 21
 part : 21
 white : 21
 direction : 21
 Is : 21
 seems : 21
 known : 21
 showed : 20
 along : 20
 years : 20
 young : 20
 business : 20
 truth : 20
 gentleman : 20
 yourself : 20
 ask : 20
 look : 20
 Baskervilles : 20
 gray : 20
 friends : 20
 among : 20
 least : 20
 hill : 20
 alone : 19
 many : 19
 world : 19
 walked : 19
 means : 19
 sister : 19
 read : 19
 With : 19
 run : 19
 danger : 19
 mean : 19
 deep : 19
 believe : 19
 either : 19
 whether : 19
 boot : 19
 Tracey : 18
 creature : 18
 Coombe : 18
 kept : 18
 low : 18
 anyone : 18
 Do : 18
 body : 18
 rose : 18
 story : 18
 kind : 18
  : 17
 therefore : 17
 possible : 17
 huge : 17
 For : 17
 air : 17
 ground : 17
 husband : 17
 learned : 17
 Gutenberg : 17
 dog : 17
 near : 17
 died : 17
 boy : 17
 visit : 17
 question : 17
 hard : 17
 use : 17
 reached : 17
 keep : 17
 glad : 17
 feet : 17
 waiting : 17
 swear : 17
 second : 16
 date : 16
 alley : 16
 doing : 16
 remember : 16
 struck : 16
 Have : 16
 met : 16
 call : 16
 surprise : 16
 track : 16
 late : 16
 From : 16
 House : 16
 report : 16
 hut : 16
 Hugo : 16
 hotel : 16
 figure : 16
 object : 15
 possibly : 15
 love : 15
 Our : 15
 certain : 15
 large : 15
 full : 15
 connection : 15
 Merripit : 15
 person : 15
 let : 15
 standing : 15
 fact : 15
 dead : 15
 evidence : 15
 stick : 15
 cold : 15
 opened : 15
 during : 15
 else : 15
 beard : 15
 show : 15
 Chapter : 15
 someone : 15
 turn : 15
 position : 15
 each : 15
 cases : 15
 given : 15
 moon : 15
 present : 15
 because : 15
 entirely : 15
 looking : 14
 men : 14
 drive : 14
 stone : 14
 returned : 14
 hours : 14
 sight : 14
 having : 14
 high : 14
 tonight : 14
 Because : 14
 Her : 14
 five : 14
 trouble : 14
 strong : 14
 close : 14
 lived : 14
 used : 14
 Not : 14
 slowly : 14
 distance : 14
 seem : 14
 Exactly : 14
 waited : 14
 road : 14
 public : 14
 Mire : 14
 candle : 14
 complete : 14
 Baker : 14
 Here : 14
 hardly : 14
 Frankland : 14
 feel : 14
 Ill : 14
 Devonshire : 14
 evidently : 13
 mans : 13
 power : 13
 straight : 13
 surprised : 13
 curious : 13
 line : 13
 occurred : 13
 Very : 13
 true : 13
 fog : 13
 silent : 13
 soon : 13
 heavy : 13
 less : 13
 exactly : 13
 save : 13
 interesting : 13
 running : 13
 further : 13
 idea : 13
 secret : 13
 cut : 13
 ourselves : 13
 heir : 13
 escaped : 13
 Ive : 13
 minutes : 13
 evil : 13
 outside : 13
 short : 13
 reach : 13
 spoke : 12
 master : 12
 rest : 12
 stranger : 12
 legend : 12
 Your : 12
 send : 12
 sent : 12
 thin : 12
 hope : 12
 rocks : 12
 yew : 12
 suddenly : 12
 broke : 12
 message : 12
 God : 12
 nerves : 12
 boots : 12
 meet : 12
